Removed Pin From Net: NetName=Gen_current_signal_input Pin=R3-1
Removed Pin From Net: NetName=Gen_current_signal Pin=R3-2
Removed Pin From Net: NetName=5V Pin=U2-4
Removed Pin From Net: NetName=GND Pin=VR1-1
Removed Pin From Net: NetName=Gen_voltage_signal_input Pin=VR1-3
Removed Pin From Net: NetName=Motor_ut_pos Pin=VR2-1
Removed Pin From Net: NetName=GND Pin=VR3-3
Change Component Footprint: Designator=P8 Old Footprint=61300211121 New Footprint=61300211121
Change Component Footprint: Designator=R3 Old Footprint=RESC3116X65X50NL20T20 New Footprint=RESC2013X70X40NL20T20
Change Component Footprint: Designator=R4 Old Footprint=RESC3216X70X50LL05T20 New Footprint=RESC2013X60X40LL20T25_A
Change Component Footprint: Designator=R5 Old Footprint=RESC3216X70X50LL05T20 New Footprint=RESC2013X60X40LL20T25_A
Change Component Comment : Designator=R3 Old Comment=CRCW120610K0FKEAHP New Comment=ERJ-P06J104V
Change Component Comment : Designator=R4 Old Comment=ERJ-8ENF1002V New Comment=ERA-6AEB103V
Change Component Comment : Designator=R5 Old Comment=ERJ-8ENF1002V New Comment=ERA-6AEB103V
Change Managed Component Library Link : Designator=R3 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=C391831F-7703-4AF7-A19C-49CED6817183 New ItemGUID=51542EC6-C918-4578-BE46-07A9A0155162 Old RevisionGUID=EFC9E6CC-BEA9-4D29-B35D-22F5C8DB884C New RevisionGUID=F05CE2F2-40AD-42C4-8B29-8F89260615CC
Change Managed Component Library Link : Designator=R4 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=DF515665-415F-42AA-B539-DAC1EF3CEB00 New ItemGUID=88C0399B-4929-48B0-91FC-CD3C5B951474 Old RevisionGUID=AF66E339-2024-46EC-A772-A8FDFA3B7411 New RevisionGUID=937A3D84-C7F8-4C89-96AA-A90A7723A6F7
Change Managed Component Library Link : Designator=R5 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=DF515665-415F-42AA-B539-DAC1EF3CEB00 New ItemGUID=88C0399B-4929-48B0-91FC-CD3C5B951474 Old RevisionGUID=AF66E339-2024-46EC-A772-A8FDFA3B7411 New RevisionGUID=937A3D84-C7F8-4C89-96AA-A90A7723A6F7
Change component parameters: Designator = "R3" ("R3"); Footprint = "RESC3116X65X50NL20T20"; UniqueID = "\QVRYRQMU" ("\QVRYRQMU")
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = "25PPM/C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination Style"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "0.1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = "MetalFilmChipResistors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "100V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "1.25mm"; VariantName = "[No Variations]"
Change component parameters: Designator = "R5" ("R5"); Footprint = "RESC3216X70X50LL05T20"; UniqueID = "\DJBWSOMU" ("\DJBWSOMU")
Change component parameters (AddParameter): Name = "Brand"; Value = "Panasonic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code - in"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code - mm"; Value = "2012"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet URL"; Value = "https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet Version"; Value = "02/2016"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Factory Pack Quantity"; Value = "5000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "0.5mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "2mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Panasonic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer URL"; Value = "http://www.panasonic.com/"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Technology"; Value = "SurfaceMount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature Range"; Value = "-55Cto+155C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "0805(2012metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Description"; Value = "2-Pin Surface Mount Device, Body 2 x 1.25 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Reference"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power Rating"; Value = "125mW(1/8W)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Product"; Value = "ThinFilmResistorsSMD"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Product Category"; Value = "ThinFilmResistors-SMD"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resistance"; Value = "10kOhms"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Details"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "ERA-6A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = "25PPM/C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination Style"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "0.1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = "MetalFilmChipResistors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "100V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "1.25mm"; VariantName = "[No Variations]"
Added Component: Designator=C11(FP-C0805C-DN-MFG)
Add component (AddParameter): Name = "Automotive"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Capacitance"; Value = "1,000 pF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Cap"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://content.kemet.com/datasheets/KEM_C1003_C0G_SMD.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L1"; Value = "Passive Components"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L2"; Value = "Capacitors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L3"; Value = "Ceramic Capacitors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Digikey Description"; Value = "CAP CER 1000PF 100V C0G/NP0 0805"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "0.88mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ipc Land Pattern Name"; Value = "CAPC200125X78"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "KEMET"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "C0805C102J1GACTU"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Material"; Value = "Ceramic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Description"; Value = "Multilayer Ceramic Capacitors MLCC - SMD/SMT 100volts 1000pF C0G 5%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Octopart"; Value = "https://octopart.com/c0805c102j1gactu-kemet-105157"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "C0805C-DN"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature"; Value = "-55°C to +125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Characteristic"; Value = "C0G"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "30ppm/°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range High"; Value = "+125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range Low"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "0.05"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "1,000 pF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "100 V"; VariantName = "[No Variations]"
Added Component: Designator=C12(FP-C0805C-DN-MFG)
Add component (AddParameter): Name = "Automotive"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Capacitance"; Value = "1,000 pF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Cap"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://content.kemet.com/datasheets/KEM_C1003_C0G_SMD.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L1"; Value = "Passive Components"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L2"; Value = "Capacitors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L3"; Value = "Ceramic Capacitors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Digikey Description"; Value = "CAP CER 1000PF 100V C0G/NP0 0805"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "0.88mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ipc Land Pattern Name"; Value = "CAPC200125X78"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "KEMET"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "C0805C102J1GACTU"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Material"; Value = "Ceramic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Description"; Value = "Multilayer Ceramic Capacitors MLCC - SMD/SMT 100volts 1000pF C0G 5%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Octopart"; Value = "https://octopart.com/c0805c102j1gactu-kemet-105157"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "C0805C-DN"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature"; Value = "-55°C to +125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Characteristic"; Value = "C0G"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "30ppm/°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range High"; Value = "+125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range Low"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "0.05"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "1,000 pF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "100 V"; VariantName = "[No Variations]"
Added Component: Designator=R1(RESC2013X70X40NL20T20)
Add component (AddParameter): Name = "Manufacturer"; Value = "Panasonic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "ERJ-P06J104V"; VariantName = "[No Variations]"
Added Component: Designator=R2(RESC2013X55X40ML15T20)
Add component (AddParameter): Name = "Manufacturer"; Value = "Vishay Dale"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "TNPW08051K00BETA"; VariantName = "[No Variations]"
Added Component: Designator=R8(RESC2013X70X40ML20T20)
Add component (AddParameter): Name = "Manufacturer"; Value = "Panasonic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "ERJ6ENF3301V"; VariantName = "[No Variations]"
Added Component: Designator=R9(RESC2013X70X40NL20T20)
Add component (AddParameter): Name = "Manufacturer"; Value = "Panasonic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "ERJ-P06J104V"; VariantName = "[No Variations]"
Added Component: Designator=R10(RESC2013X55X40ML15T20)
Add component (AddParameter): Name = "Manufacturer"; Value = "Vishay Dale"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "TNPW08051K00BETA"; VariantName = "[No Variations]"
Added Component: Designator=R11(RESC2013X70X40NL20T20)
Add component (AddParameter): Name = "Manufacturer"; Value = "Panasonic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "ERJ-P06J104V"; VariantName = "[No Variations]"
Added Component: Designator=R12(RESC2013X70X40ML20T20)
Add component (AddParameter): Name = "Manufacturer"; Value = "Panasonic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "ERJ6ENF3301V"; VariantName = "[No Variations]"
Added Pin To Net: NetName=Motor_Current_sensor Pin=C11-1
Added Pin To Net: NetName=Gen_current_signal Pin=C12-1
Added Pin To Net: NetName=5V Pin=R1-2
Added Pin To Net: NetName=GND Pin=R3-2
Added Pin To Net: NetName=Motor_Current_sensor Pin=R8-2
Added Pin To Net: NetName=5V Pin=R9-2
Added Pin To Net: NetName=GND Pin=R11-1
Added Pin To Net: NetName=Gen_current_signal Pin=R12-2
Added Pin To Net: NetName=12V Pin=U2-4
Added Pin To Net: NetName=Gen_current_signal Pin=U2-7
Added Pin To Net: NetName=Motor_Current_sensor Pin=U2-8
Added Pin To Net: NetName=Gen_voltage_signal_input Pin=VR1-1
Added Pin To Net: NetName=GND Pin=VR1-3
Added Pin To Net: NetName=NetU3_6 Pin=VR2-1
Change Net Name : Old Net Name=Gen_current_signal_input New Net Name=NetMP2_1
Change Net Name : Old Net Name=Gen_voltage_signal_input New Net Name=Gen_pos
Change Net Name : Old Net Name=Motor_brake New Net Name=NetMCU_27
Change Net Name : Old Net Name=Motor_PWM New Net Name=NetMCU_44
Change Net Name : Old Net Name=NetJ4_2 New Net Name=Gen_neg
Added Pin To Net: NetName=NetC11_2 Pin=C11-2
Added Pin To Net: NetName=NetC11_2 Pin=R2-2
Added Pin To Net: NetName=NetC11_2 Pin=R8-1
Added Pin To Net: NetName=NetC11_2 Pin=U2-9
Added Net: Name=NetC11_2
Added Pin To Net: NetName=NetC12_2 Pin=C12-2
Added Pin To Net: NetName=NetC12_2 Pin=R10-2
Added Pin To Net: NetName=NetC12_2 Pin=R12-1
Added Pin To Net: NetName=NetC12_2 Pin=U2-6
Added Net: Name=NetC12_2
Added Pin To Net: NetName=NetMCU_24 Pin=MCU-24
Added Pin To Net: NetName=NetMCU_24 Pin=U2-13
Added Pin To Net: NetName=NetMCU_24 Pin=U2-14
Added Net: Name=NetMCU_24
Added Pin To Net: NetName=NetP8_1 Pin=P8-1
Added Pin To Net: NetName=NetP8_1 Pin=U2-1
Added Pin To Net: NetName=NetP8_1 Pin=VR3-1
Added Net: Name=NetP8_1
Added Pin To Net: NetName=NetR1_1 Pin=R1-1
Added Pin To Net: NetName=NetR1_1 Pin=R3-1
Added Pin To Net: NetName=NetR1_1 Pin=U2-10
Added Net: Name=NetR1_1
Added Pin To Net: NetName=NetR2_1 Pin=R2-1
Added Pin To Net: NetName=NetR2_1 Pin=U5-7
Added Net: Name=NetR2_1
Added Pin To Net: NetName=NetR4_1 Pin=R4-1
Added Pin To Net: NetName=NetR4_1 Pin=R5-2
Added Pin To Net: NetName=NetR4_1 Pin=U2-12
Added Net: Name=NetR4_1
Added Pin To Net: NetName=NetR9_1 Pin=R9-1
Added Pin To Net: NetName=NetR9_1 Pin=R11-2
Added Pin To Net: NetName=NetR9_1 Pin=U2-5
Added Net: Name=NetR9_1
Added Pin To Net: NetName=NetR10_1 Pin=R10-1
Added Pin To Net: NetName=NetR10_1 Pin=U4-7
Added Net: Name=NetR10_1
Added Member To Class: ClassName=Krets Member=Component C11 C0805C102J1GACTU
Added Member To Class: ClassName=Krets Member=Component C12 C0805C102J1GACTU
Added Member To Class: ClassName=Krets Member=Component R1 ERJ-P06J104V
Added Member To Class: ClassName=Krets Member=Component R2 TNPW08051K00BETA
Added Member To Class: ClassName=Krets Member=Component R8 ERJ6ENF3301V
Added Member To Class: ClassName=Krets Member=Component R9 ERJ-P06J104V
Added Member To Class: ClassName=Krets Member=Component R10 TNPW08051K00BETA
Added Member To Class: ClassName=Krets Member=Component R11 ERJ-P06J104V
Added Member To Class: ClassName=Krets Member=Component R12 ERJ6ENF3301V
